dist_road,dist_market,dist_border,dist_popcenter,dist_admhq,age,sex,denomination,total_cons_ann,nom_totcons_aeq,walls_material,roof_material,floor_material
0.5,256.2,36.5,74.9,0.1,31-50,Male,urban,161528.0,52786.9296875,Corrugated iron,Corrugated iron sheet,Cement screed/Cement screed not applied
0.5,256.2,36.5,74.9,0.1,18-30,Female,urban,161528.0,52786.9296875,Corrugated iron,Corrugated iron sheet,Cement screed/Cement screed not applied
0.5,256.2,36.5,74.9,0.1,0-17,Male,urban,161528.0,52786.9296875,Corrugated iron,Corrugated iron sheet,Cement screed/Cement screed not applied
0.5,256.2,36.5,74.9,0.1,0-17,Female,urban,161528.0,52786.9296875,Corrugated iron,Corrugated iron sheet,Cement screed/Cement screed not applied
0.5,256.2,36.5,74.9,0.1,51-65,Male,urban,232950.15625,32534.939453125,Corrugated iron,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,31-50,Female,urban,232950.15625,32534.939453125,Corrugated iron,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,18-30,Female,urban,232950.15625,32534.939453125,Corrugated iron,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,18-30,Male,urban,232950.15625,32534.939453125,Corrugated iron,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,0-17,Female,urban,232950.15625,32534.939453125,Corrugated iron,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,0-17,Male,urban,232950.15625,32534.939453125,Corrugated iron,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,0-17,Male,urban,232950.15625,32534.939453125,Corrugated iron,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,0-17,Female,urban,232950.15625,32534.939453125,Corrugated iron,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,18-30,Female,urban,69056.0,86320.0,Plastered hallow blocks,Corrugated iron sheet,Plastic tiles
0.5,256.2,36.5,74.9,0.1,51-65,Male,urban,110039.0,19103.994140625,Corrugated iron,Corrugated iron sheet,Plastic tiles
0.5,256.2,36.5,74.9,0.1,31-50,Female,urban,110039.0,19103.994140625,Corrugated iron,Corrugated iron sheet,Plastic tiles
0.5,256.2,36.5,74.9,0.1,18-30,Male,urban,110039.0,19103.994140625,Corrugated iron,Corrugated iron sheet,Plastic tiles
